"TILE_ID","FILTER_ID","REF_TILE_ID","name","RA","DEC","hpix5","ZPT","ERRZPT","CALIB_PROCEDURE","NOISE","NOISE_RMS","ADULEVEL","ADULEVEL_RMS","NCOMBINED","TEXPOSED","EFECTIME","EXPTIME","FWHMG","FWHMG_RMS","FWHM_MIN","FWHM_MAX","FWHM_MEAN","MOFFATBETA_MEAN","ELLIPTICITY_MEAN","PIXSCALE","DATASUM","CHECKSUM","SINGLE_CATALOGUE_DATASUM","DUAL_CATALOGUE_DATASUM","DEPTH2FWHM5S","DEPTH3ARC5S","DEPTHARCSEC2","M50S","KS","M50G","KG","APER_COR_6_0","APER_COR_ERR_6_0","APER_COR_6_0_DUAL","APER_COR_3_0","OBSERVATION_DATES","A_CALIB","B_CALIB","C_CALIB"
98506,7,98502,"1000001-JPLUS-03473-v202202_J0395_swp",41.0027,0.4809,4438,20.2156,0.0112,9,0.0305,0.0018,0.001,0.0,3,202.89,202.26,1.0,1.699,0.035,1.61536,1.87578,1.65124,2.85597,0.0138679,0.5556,3126936737,"e6deddff4ea1b762ddb4457b79fe91a3",526032561,932305918,20.469769,20.574066,21.63573,20.509613,5.6801147,20.189589,5.036476,-0.10992,0.00508696,,"[-3.176452151e-01,-2.223804875e-06,-3.643140419e-10,-3.049568909e-07, 1.292425149e-09,-5.150630674e-15,-2.922390107e-10, 4.108334235e-14,-2.980104110e-18]","2021-10-13T03:12:56 2021-10-13T03:14:31 2021-10-13T03:16:05",-5.4e-08,2.358e-06,-0.009772
98507,9,98502,"1000001-JPLUS-03473-v202202_J0430_swp",41.0027,0.4809,4438,21.3224,0.0074,9,0.0594,0.0031,0.005,0.0,3,118.5,118.26,1.0,1.483,0.051,1.36579,1.63076,1.3823,2.73859,0.0234074,0.5556,1147587440,"df70850407d985440d3dc8c6b27b6b20",2571454924,924178365,21.04107,20.952349,22.014015,20.994936,5.900654,20.62619,4.7126756,-0.105619,0.00203137,,"[-2.663803806e-01,-1.961921057e-06,-2.062647511e-10, 6.493288900e-06, 1.016451021e-09,-8.542721633e-14,-4.161949761e-10, 1.717476334e-14, 2.453693398e-18]","2021-10-13T02:46:10 2021-10-13T02:47:17 2021-10-13T02:48:23",7.71e-07,1.914e-06,-0.010772
98508,4,98502,"1000001-JPLUS-03473-v202202_zSDSS_swp",41.0027,0.4809,4438,22.7706,0.0066,9,0.3108,0.0149,0.015,0.02,3,80.79,80.58,1.0,1.288,0.046,1.1445,1.22454,1.18673,2.5525,0.0261635,0.5556,246843622,"8cbd4b62d9e00b1ca65ea75aab22e9e8",941677835,2527230831,20.840961,20.586613,21.648277,20.626858,6.5174227,20.281612,4.32158,-0.127111,0.00219386,,"[-2.090766634e-01,-5.574188512e-06, 1.204121991e-10,-1.071450757e-06, 4.556883396e-10,-3.761035490e-14,-3.277802622e-11, 1.739269991e-14, 8.553707872e-19]","2021-10-13T03:17:39 2021-10-13T03:18:33 2021-10-13T03:19:28",1.97e-07,1.577e-06,-0.008557
98509,3,98515,"1000001-JPLUS-03475-v202202_iSDSS_swp",0.6951,1.8733,4865,23.2591,0.0057,9,0.167,0.0089,0.009,0.01,6,226.89,224.09,1.0,1.225,0.043,1.11332,1.20304,1.11538,2.88045,0.0226391,0.5556,3094583333,"009b1a1d7306e32195eb12162a46b02e",3940546111,3656847454,22.071695,21.750025,22.81169,21.846104,6.398033,21.46737,4.3707733,-0.10655,0.00226559,,"[-1.910678840e-01,-1.304795743e-06,-2.271719559e-11,-9.442561215e-07, 1.325914448e-09,-5.660356227e-14, 3.970216164e-11,-3.702355072e-14, 1.583654263e-18]","2017-07-31T02:50:25 2017-07-31T02:51:18 2017-07-31T02:52:09 2017-08-14T00:36:24 2017-08-14T00:37:45 2017-08-14T00:39:06",5.03e-07,1.411e-06,-0.009271
98510,5,98515,"1000001-JPLUS-03475-v202202_uJAVA_swp",0.6951,1.8733,4865,20.8856,0.0131,9,0.0399,0.0021,0.003,0.0,6,375.39,363.39,1.0,1.511,0.032,1.38797,1.5805,1.44211,2.39275,0.0243526,0.5556,3859151433,"5d2b3a104743afe4f1e285eb12d28416",3769283397,730601834,21.037115,20.994383,22.056047,21.01282,5.192862,20.603317,4.970363,-0.104429,0.00395285,,"[-3.333369350e-01, 1.288985464e-05,-7.557746728e-10, 6.823371829e-06,-2.013601731e-09, 1.289968561e-13,-3.076646617e-10, 6.558375360e-14,-3.530767673e-18]","2017-07-31T02:53:17 2017-07-31T02:54:25 2017-07-31T02:55:31 2017-08-14T00:40:42 2017-08-14T00:42:38 2017-08-14T00:44:36",4.217e-06,6.174e-06,-0.050475
98511,9,98515,"1000001-JPLUS-03475-v202202_J0430_swp",0.6951,1.8733,4865,21.2241,0.0074,9,0.0399,0.0016,0.003,0.0,6,525.72,517.22,1.0,1.464,0.034,1.36163,1.57235,1.36163,2.32538,0.0238572,0.5556,578693151,"740dc275451f3030ef7d9a1fa54ae31a",117438894,716170208,21.405464,21.300383,22.36205,21.264864,6.0691037,20.94037,4.8769665,-0.108594,0.00252699,,"[-2.879920595e-01, 1.807839365e-06,-4.083715386e-10,-1.109027785e-06, 1.215380603e-09, 1.766771625e-14,-4.122284085e-11,-3.130590693e-14,-8.863176723e-19]","2017-07-31T02:56:42 2017-07-31T02:57:54 2017-07-31T02:59:06 2017-08-14T00:46:35 2017-08-14T00:49:18 2017-08-14T00:51:58",5.13e-07,2.788e-06,-0.018843
98512,12,98515,"1000001-JPLUS-03475-v202202_J0861_swp",0.6951,1.8733,4865,21.5564,0.0067,9,0.1135,0.0066,0.01,0.01,3,115.29,115.03,1.0,1.294,0.032,1.16722,1.2741,1.19397,2.60564,0.0132671,0.5556,2597661643,"4daf10f9a3d896bd63474210f1dbe664",3170042077,1021834319,20.71307,20.465326,21.52699,20.576693,6.1381364,20.243479,4.754753,-0.117037,0.00201725,,"[-2.123754512e-01,-1.433082656e-06,-1.678296732e-11, 9.930778184e-08,-2.148575535e-10,-4.809739034e-15,-1.034006718e-10, 5.760194421e-14,-1.155900776e-18]","2017-07-31T03:00:33 2017-07-31T03:01:39 2017-07-31T03:02:45",-1.009e-06,2.937e-06,-0.01078
87472,7,87481,"1000001-JPLUS-01007-v202202_J0395_swp",186.6046,33.2276,7133,20.4923,0.0112,9,0.0314,0.0013,0.002,0.0,3,232.29,231.71,1.0,1.494,0.031,1.39539,1.58149,1.48224,2.73634,0.0144252,0.5556,2774426697,"18812e9aec1f4abd4588e83890fa9023",1948982037,3154805544,20.842422,20.82949,21.891157,20.898159,5.0999885,20.48746,4.8656178,-0.107393,0.00407308,,"[-3.247933445e-01, 1.645558227e-05,-7.687878421e-10, 1.810029086e-05,-6.715200741e-09, 3.432782079e-13,-1.008147624e-09, 3.490886509e-13,-1.721091204e-17]","2019-03-27T01:44:33 2019-03-27T01:46:18 2019-03-27T01:48:02",3.676e-06,2.156e-06,-0.027623
87473,4,87481,"1000001-JPLUS-01007-v202202_zSDSS_swp",186.6046,33.2276,7133,22.8997,0.0066,9,0.2855,0.0148,0.008,0.02,3,85.41,85.32,1.0,1.258,0.064,1.12827,1.59648,1.29907,3.18147,0.0369474,0.5556,907460754,"729650d3c69ba454ff94d07fa281ab99",2928230800,3434375323,20.956947,20.8008,21.862465,20.89054,5.7510853,20.535503,4.4799404,-0.123343,0.00203369,,"[-2.439793955e-01, 1.539401654e-05,-7.261773630e-10, 1.744712860e-05,-3.625249661e-09, 1.783355043e-13,-1.037977738e-09, 2.016900209e-13,-9.064640535e-18]","2019-03-27T01:49:55 2019-03-27T01:50:51 2019-03-27T01:51:46",5.32e-07,1.933e-06,-0.011431
87474,3,87487,"1000001-JPLUS-01009-v202202_iSDSS_swp",189.9018,33.2276,2690,23.3728,0.0057,9,0.1954,0.0083,0.012,0.01,3,98.91,96.26,1.0,1.305,0.021,1.20674,1.24631,1.21981,2.63513,0.00511423,0.5556,4165308464,"7f4a650c407b073b17c8412227a48ce3",3997741134,4181591089,21.916002,21.691504,22.75317,21.739437,5.8683724,21.343548,4.2939944,-0.119656,0.00160838,,"[-2.223312731e-01,-8.275769346e-07,-2.482021847e-11, 1.267126273e-06, 1.600566439e-10,-8.811469594e-15,-1.139719493e-10, 2.208413613e-14,-5.893358949e-19]","2021-04-06T23:37:04 2021-04-06T23:38:04 2021-04-06T23:39:04",-7.49e-07,1.54e-07,0.003528
